_id,total
"{""url"": ""uk.news.yahoo.com""}",1
"{""url"": ""www.economywatch.com""}",2
"{""url"": ""www.seatrade-maritime.com""}",1
"{""url"": ""insidehpc.com""}",1
"{""url"": ""in.style.yahoo.com""}",6
"{""url"": ""news.microsoft.com""}",15
"{""url"": ""www.malaymail.com""}",1
"{""url"": ""www.thebetterindia.com""}",4
"{""url"": ""www.theweek.in""}",7
"{""url"": ""www.investingcube.com""}",3
"{""url"": ""www.theregister.com""}",2
"{""url"": ""www.aljazeera.com""}",248
"{""url"": ""news.google.com""}",4897
"{""url"": ""www.navalnews.com""}",1
"{""url"": ""economictimes.indiatimes.com""}",10187
"{""url"": ""ftalphaville.ft.com""}",1
"{""url"": ""www.americanbanker.com""}",2
"{""url"": ""www.asianage.com""}",3
"{""url"": ""ambcrypto.com""}",61
"{""url"": ""www.japantimes.co.jp""}",4
"{""url"": ""9to5mac.com""}",4
"{""url"": ""www.techgenyz.com""}",1
"{""url"": ""www.ynetnews.com""}",1
"{""url"": ""www.lbc.co.uk""}",1
"{""url"": ""www.gqindia.com""}",6
"{""url"": ""www.pfizer.com""}",1
"{""url"": ""www.indiatoday.in""}",1652
"{""url"": ""ahmedabadmirror.indiatimes.com""}",2
"{""url"": ""entrackr.com""}",448
"{""url"": ""thehackernews.com""}",43
"{""url"": ""the-ken.com""}",16
"{""url"": ""www.dailypioneer.com""}",2
"{""url"": ""www.crypto-news-flash.com""}",1
"{""url"": ""www.businessinsider.in""}",920
"{""url"": ""www.grandprix247.com""}",1
"{""url"": ""europe.autonews.com""}",2
"{""url"": ""www.bloomberg.com""}",399
"{""url"": ""www.shine.cn""}",1
"{""url"": ""bgr.com""}",8
"{""url"": ""www.dtnext.in""}",1
"{""url"": ""newsaf.cgtn.com""}",9
"{""url"": ""nakedsecurity.sophos.com""}",2
"{""url"": ""goldprice.org""}",2
"{""url"": ""www.barrons.com""}",23
"{""url"": ""www.belfasttelegraph.co.uk""}",1
"{""url"": ""www.printweek.in""}",1
"{""url"": ""www.newsbytesapp.com""}",71
"{""url"": ""www.defensenews.com""}",1
"{""url"": ""www.onclive.com""}",1
"{""url"": ""food.manoramaonline.com""}",2
"{""url"": ""insidebitcoins.com""}",1
"{""url"": ""www.orissapost.com""}",1
"{""url"": ""www.investing.com""}",1839
"{""url"": ""venturebeat.com""}",17
"{""url"": ""www.investopedia.com""}",7
"{""url"": ""ipl-2020-coca-cola-likely-to-stay-out-of-ipl-2020""}",1
"{""url"": ""www.cxotoday.com""}",2
"{""url"": ""www.indiacarnews.com""}",523
"{""url"": ""m.thewire.in""}",2
"{""url"": ""thevrsoldier.com""}",2
"{""url"": ""www.eweek.com""}",1
"{""url"": ""www.soompi.com""}",2
"{""url"": ""www.manchestereveningnews.co.uk""}",2
"{""url"": ""www.scoopwhoop.com""}",12
"{""url"": ""www.breakingnews.ie""}",1
"{""url"": ""www.coingecko.com""}",1
"{""url"": ""learningenglish.voanews.com""}",1
"{""url"": ""www.tribuneindia.com""}",151
"{""url"": ""www.anandtech.com""}",1
"{""url"": ""www.newslaundry.com""}",11
"{""url"": ""www.neweurope.eu""}",1
"{""url"": ""www.phoronix.com""}",1
"{""url"": ""www.news-medical.net""}",2
"{""url"": ""variety.com""}",6
"{""url"": ""www.businesswireindia.com""}",2
"{""url"": ""www.pv-magazine-india.com""}",3
"{""url"": ""www.koreaherald.com""}",2
"{""url"": ""auto.hindustantimes.com""}",2863
"{""url"": ""www.altnews.in""}",6
"{""url"": ""krishijagran.com""}",5
"{""url"": ""in.finance.yahoo.com""}",70
"{""url"": ""www.washingtonpost.com""}",11
"{""url"": ""www.avenuemail.in""}",2
"{""url"": ""www.gold-eagle.com""}",1
"{""url"": ""www.equitybulls.com""}",122
"{""url"": ""www.apple.com""}",4
"{""url"": ""asia.nikkei.com""}",21
"{""url"": ""interestingengineering.com""}",24
"{""url"": ""www.dallasnews.com""}",1
"{""url"": ""analyticsindiamag.com""}",44
"{""url"": ""zycrypto.com""}",25
"{""url"": ""www.dnaindia.com""}",150
"{""url"": ""observer.com""}",1
"{""url"": ""seekingalpha.com""}",8
"{""url"": ""www.pymnts.com""}",6
"{""url"": ""science.thewire.in""}",39
"{""url"": ""www.guwahatiplus.com""}",11
"{""url"": ""www.thenationalnews.com""}",6
"{""url"": ""www.marketwatch.com""}",38
"{""url"": ""thepeninsulaqatar.com""}",1
"{""url"": ""www.usatoday.com""}",5
"{""url"": ""cointelegraph.com""}",162
"{""url"": ""mercomindia.com""}",86
"{""url"": ""www.fiercepharma.com""}",35
"{""url"": ""www.telecomlead.com""}",2
"{""url"": ""crickettimes.com""}",1
"{""url"": ""www.roadandtrack.com""}",1
"{""url"": ""www.airlineratings.com""}",1
"{""url"": ""bitcoinist.com""}",21
"{""url"": ""www.benzinga.com""}",10
"{""url"": ""syncedreview.com""}",1
"{""url"": ""www.saurenergy.com""}",4
"{""url"": ""www.infosecurity-magazine.com:443""}",3
"{""url"": ""www.cryptoglobe.com""}",49
"{""url"": ""www.mirchi9.com""}",9
"{""url"": ""www.rideapart.com""}",20
"{""url"": ""amp.theguardian.comworld""}",3
"{""url"": ""www.financialexpress.com""}",85
"{""url"": ""nokiamob.net""}",4
"{""url"": ""www.talkesport.com""}",3
"{""url"": ""www.newshub.co.nz""}",1
"{""url"": ""www.musicbusinessworldwide.com""}",2
"{""url"": ""www.theblockcrypto.com""}",33
"{""url"": ""goachronicle.com""}",1
"{""url"": ""versionweekly.com""}",4
"{""url"": ""thenextweb.com""}",84
"{""url"": ""www.euronews.com""}",4
"{""url"": ""investor.spglobal.com""}",1
"{""url"": ""www.pgurus.com""}",17
"{""url"": ""thefinancialbrand.com""}",1
"{""url"": ""avenuemail.in""}",3
"{""url"": ""www.timesnownews.com""}",1047
"{""url"": ""cryptonews.com""}",2
"{""url"": ""www.carandbike.com""}",1191
"{""url"": ""www.4029tv.com""}",1
"{""url"": ""www.health.com""}",2
"{""url"": ""www.mediapost.com""}",5
"{""url"": ""www.livescience.com""}",4
"{""url"": ""www.androidcentral.com""}",3
"{""url"": ""pulse2.com""}",3
"{""url"": ""www.prokerala.com""}",1
"{""url"": ""consent.yahoo.com""}",2
"{""url"": ""www.channelnewsasia.com""}",36
"{""url"": ""www.taiwannews.com.tw""}",2
"{""url"": ""www.standard.co.uk""}",2
"{""url"": ""www.hindustantimes.com""}",2794
"{""url"": ""www.businesswire.com""}",36
"{""url"": ""splash247.com""}",13
"{""url"": ""motoroctane.com""}",184
"{""url"": ""english.newstracklive.com""}",4
"{""url"": ""gearpatrol.com""}",1
"{""url"": ""www.mysmartprice.com""}",4
"{""url"": ""www.sharecast.com""}",1
"{""url"": ""www.sciencedaily.com""}",2
"{""url"": ""www.space.com""}",2
"{""url"": ""www.motorauthority.com""}",1
"{""url"": ""www.unenvironment.org""}",1
"{""url"": ""www.ft.com""}",128
"{""url"": ""prime.economictimes.indiatimes.com""}",38
"{""url"": ""www.cruiselawnews.com""}",2
"{""url"": ""www.army-technology.com""}",1
"{""url"": ""newsmeter.in""}",2
"{""url"": ""www.forbesindia.com""}",24
"{""url"": ""www.seattletimes.com""}",1
"{""url"": ""goingconcern.com""}",1
"{""url"": ""eurasiantimes.com""}",35
"{""url"": ""www.ctvnews.ca""}",1
"{""url"": ""www.ibtimes.sg""}",1
"{""url"": ""thenortheasttoday.com""}",3
"{""url"": ""www.newkerala.com""}",2
"{""url"": ""www.carscoops.com""}",5
"{""url"": ""www.nst.com.my""}",1
"{""url"": ""www.saudigazette.com.sa""}",1
"{""url"": ""overdrive.in""}",49
"{""url"": ""www.pinkvilla.com""}",22
"{""url"": ""www.who.int""}",16
"{""url"": ""calgary.ctvnews.ca""}",1
"{""url"": ""www.teiss.co.uk""}",1
"{""url"": ""www.equitymaster.com""}",2
"{""url"": ""www.pv-tech.org""}",1
"{""url"": ""telecoms.com""}",17
"{""url"": ""ca.reuters.com""}",4
"{""url"": ""gcaptain.com""}",1
"{""url"": ""www.theguardian.com""}",24
"{""url"": ""www.sundayguardianlive.com""}",16
"{""url"": ""www.chemistryworld.com""}",1
"{""url"": ""www.theaustralian.com.au""}",2
"{""url"": ""futurism.com""}",9
"{""url"": ""www.gizchina.com""}",82
"{""url"": ""www.crosstownnews.in""}",2
"{""url"": ""www.totaltele.com""}",1
"{""url"": ""www.bizjournals.com""}",12
"{""url"": ""www.deseret.com""}",5
"{""url"": ""www.openpr.com""}",3
"{""url"": ""deadline.com""}",2
"{""url"": ""ultra.news""}",6
"{""url"": ""onezero.medium.com""}",4
"{""url"": ""coingape.com""}",192
"{""url"": ""www.nbcnews.com""}",3
"{""url"": ""www.dailysabah.com""}",11
"{""url"": ""www.breakingtravelnews.com""}",1
"{""url"": ""www.independent.co.uk""}",20
"{""url"": ""mspoweruser.com""}",14
"{""url"": ""www.dailymail.co.uk""}",12
"{""url"": ""gadgets.ndtv.com""}",585
"{""url"": ""newsinfopark.com""}",1
"{""url"": ""newsd.in""}",1
"{""url"": ""www.bullionvault.com""}",5
"{""url"": ""www.webwire.com""}",1
"{""url"": ""theprimetime.in""}",1
"{""url"": ""www.gamesindustry.biz""}",2
"{""url"": ""www.vogue.in""}",16
"{""url"": ""cryptobriefing.com""}",13
"{""url"": ""www.9news.com.au""}",1
"{""url"": ""www.autocarindia.com""}",18
"{""url"": ""www.pagalguy.com""}",1
"{""url"": ""retail.economictimes.indiatimes.com""}",56
"{""url"": ""mumbrella.com.au""}",2
"{""url"": ""www.agricensus.com""}",1
"{""url"": ""www.mumbailive.com""}",28
"{""url"": ""renewablesnow.com""}",1
"{""url"": ""www.thedrum.com""}",3
"{""url"": ""www.veganfirst.com""}",1
"{""url"": ""www.91mobiles.com""}",54
"{""url"": ""www.indiainfoline.com""}",413
"{""url"": ""www.newindianexpress.com""}",120
"{""url"": ""www.freepressjournal.in""}",196
"{""url"": ""www.searchenginejournal.com""}",36
"{""url"": ""www.quantaneo.com""}",1
"{""url"": ""www.climatechangenews.com""}",1
"{""url"": ""www.telecomtv.com""}",2
"{""url"": ""www.dealstreetasia.com""}",1
"{""url"": ""www.ibtimes.co.uk""}",1
"{""url"": ""mcucosmic.com""}",1
"{""url"": ""newsable.asianetnews.com""}",7
"{""url"": ""www.hurriyetdailynews.com""}",2
"{""url"": ""www.rechargenews.com""}",3
"{""url"": ""www.medicinenet.com""}",1
"{""url"": ""www.risingkashmir.com""}",1
"{""url"": ""liveupdates.hindustantimes.com""}",3
"{""url"": ""in.news.yahoo.com""}",153
"{""url"": ""www.nationalgeographic.com""}",3
"{""url"": ""www.yankodesign.com""}",2
"{""url"": ""news.bloombergtax.com""}",1
"{""url"": ""www.fortuneindia.com""}",24
"{""url"": ""frontline.thehindu.com""}",2
"{""url"": ""theprint.in""}",441
"{""url"": ""www.clinicaltrialsarena.com""}",12
"{""url"": ""www.thestar.com.my""}",3
"{""url"": ""www.themoscowtimes.com""}",1
"{""url"": ""www.techarp.com""}",1
"{""url"": ""www.telegraphindia.com""}",42
"{""url"": ""techxplore.com""}",3
"{""url"": ""www.bbc.co.uk""}",12
"{""url"": ""www.trustnodes.com""}",1
"{""url"": ""in.makers.yahoo.com""}",6
"{""url"": ""scitechdaily.com""}",2
"{""url"": ""www.cordcuttersnews.com""}",1
"{""url"": ""www.timesofisrael.com""}",10
"{""url"": ""www.straitstimes.com""}",12
"{""url"": ""bfsi.economictimes.indiatimes.com""}",1
"{""url"": ""realmoney.thestreet.com""}",1
"{""url"": ""www.washingtontimes.com""}",1
"{""url"": ""crowdwisdom.live""}",2
"{""url"": ""www.autoevolution.com""}",7
"{""url"": ""gulfnews.com""}",77
"{""url"": ""www.bangkokpost.com""}",24
"{""url"": ""eng.ambcrypto.com""}",1
"{""url"": ""9to5google.com""}",19
"{""url"": ""www.catchnews.com""}",2
"{""url"": ""www.empr.com""}",1
"{""url"": ""theconversation.com""}",6
"{""url"": ""www.youtube.com""}",420
"{""url"": ""e.vnexpress.net""}",1
"{""url"": ""trak.in""}",115
"{""url"": ""cfo.economictimes.indiatimes.com""}",1
"{""url"": ""www.globalcapital.com""}",1
"{""url"": ""www.covaipost.com""}",1
"{""url"": ""finance.yahoo.com""}",32
"{""url"": ""thefederal.com""}",1
"{""url"": ""www.sify.com""}",2
"{""url"": ""insights.dice.com""}",1
"{""url"": ""amp.theguardian.comcommentisfree""}",1
"{""url"": ""www.peoplematters.in""}",64
"{""url"": ""www.investors.com""}",2
"{""url"": ""www.timesofoman.com""}",1
"{""url"": ""theaircurrent.com""}",1
"{""url"": ""www.elitedaily.com""}",1
"{""url"": ""www.sfgate.com""}",2
"{""url"": ""www.adexchanger.com""}",3
"{""url"": ""worldbestnews.info""}",1
"{""url"": ""news.sophos.com""}",2
"{""url"": ""www.project-syndicate.org""}",1
"{""url"": ""www.cruiseindustrynews.com""}",4
"{""url"": ""www.livelaw.in""}",85
"{""url"": ""thekashmirwalla.com""}",1
"{""url"": ""www.indiapost.com""}",2
"{""url"": ""www.legit.ng""}",1
"{""url"": ""www.yourtango.com""}",1
"{""url"": ""in.pcmag.com""}",1
"{""url"": ""www.infoq.com""}",2
"{""url"": ""www.wionews.com""}",88
"{""url"": ""www.inputmag.com""}",1
"{""url"": ""www.gizmochina.com""}",67
"{""url"": ""bestmediainfo.com""}",4
"{""url"": ""www.ibtimes.co.in""}",13
"{""url"": ""markets.businessinsider.com""}",25
"{""url"": ""www.autox.com""}",5
"{""url"": ""www.electronicsweekly.com""}",1
"{""url"": ""www.krgv.com""}",1
"{""url"": ""www.rte.ie""}",4
"{""url"": ""cio.economictimes.indiatimes.com""}",18
"{""url"": ""www.aerotime.aero""}",1
"{""url"": ""www.presstv.com""}",1
"{""url"": ""indianautosblog.com""}",1
"{""url"": ""metro.co.uk""}",4
"{""url"": ""www.caixinglobal.com""}",1
"{""url"": ""swirlster.ndtv.com""}",3
"{""url"": ""www.thestatesman.com""}",2
"{""url"": ""menafn.com""}",2
"{""url"": ""www.voanews.com""}",1
"{""url"": ""www.financemagnates.com""}",1
"{""url"": ""www.medicalnewstoday.com""}",2
"{""url"": ""www.cicnews.com""}",3
"{""url"": ""www.indiaspend.com""}",1
"{""url"": ""hackernoon.com""}",1
"{""url"": ""paultan.org""}",1
"{""url"": ""www.buzzfeednews.com""}",1
"{""url"": ""www.economist.com""}",11
"{""url"": ""www.cardesignnews.com""}",1
"{""url"": ""www.theweekendleader.com""}",1
"{""url"": ""japantoday.com""}",4
"{""url"": ""sports.ndtv.com""}",1
"{""url"": ""searchengineland.com""}",20
"{""url"": ""www.tellychakkar.com""}",1
"{""url"": ""www.carthrottle.com""}",2
"{""url"": ""www.cidrap.umn.edu""}",1
"{""url"": ""www.zeebiz.com""}",232
"{""url"": ""www.aninews.in""}",44
"{""url"": ""www.forexfactory.com""}",12
"{""url"": ""www.spglobal.com""}",10
"{""url"": ""e27.co""}",1
"{""url"": ""www.newsclick.in""}",9
"{""url"": ""www.androidpolice.com""}",35
"{""url"": ""spacenews.com""}",2
"{""url"": ""www.paddleyourownkanoo.com""}",11
"{""url"": ""www.inverse.com""}",2
"{""url"": ""english.mathrubhumi.com""}",10
"{""url"": ""www.devdiscourse.com""}",6
"{""url"": ""www.deccanherald.com""}",929
"{""url"": ""www.fitchratings.com""}",3
"{""url"": ""www.foxbusiness.com""}",13
"{""url"": ""telecom.economictimes.indiatimes.com""}",873
"{""url"": ""www.ccn.com""}",35
"{""url"": ""in.reuters.com""}",69
"{""url"": ""www.bollywoodshaadis.com""}",3
"{""url"": ""www.tradewindsnews.com""}",1
"{""url"": ""realty.economictimes.indiatimes.com""}",22
"{""url"": ""siliconangle.com""}",4
"{""url"": ""physicsworld.com""}",1
"{""url"": ""www.gsk.com""}",1
"{""url"": ""www.mining.com""}",30
"{""url"": ""www.kcci.com""}",1
"{""url"": ""www.thestreet.com""}",4
"{""url"": ""www.jantakareporter.com""}",3
"{""url"": ""www.upi.com""}",1
"{""url"": ""www.politico.com""}",1
"{""url"": ""www.inquirer.net""}",2
"{""url"": ""www.latimes.com""}",1
"{""url"": ""www.barandbench.com""}",118
"{""url"": ""www.dw.com""}",11
"{""url"": ""www.newsonair.com""}",6
"{""url"": ""newseu.cgtn.com""}",5
"{""url"": ""globalnews.ca""}",1
"{""url"": ""www.lightreading.com""}",3
"{""url"": ""blocksandfiles.com""}",2
"{""url"": ""odishatv.in""}",32
"{""url"": ""www.windowscentral.com""}",2
"{""url"": ""updateodisha.com""}",6
"{""url"": ""www.wired.com""}",4
"{""url"": ""wwd.com""}",1
"{""url"": ""piunikaweb.com""}",4
"{""url"": ""www.statista.com""}",1
"{""url"": ""www.motor1.com""}",12
"{""url"": ""timesofoman.com""}",9
"{""url"": ""medcitynews.com""}",1
"{""url"": ""www.drivespark.com""}",11
"{""url"": ""health.economictimes.indiatimes.com""}",36
"{""url"": ""ca.news.yahoo.com""}",1
"{""url"": ""www.popularmechanics.com""}",1
"{""url"": ""en.globes.co.il""}",2
"{""url"": ""www.hellenicshippingnews.com""}",3
"{""url"": ""www.fool.com""}",43
"{""url"": ""www.goodnewsnetwork.org""}",1
"{""url"": ""techcrunch.com""}",678
"{""url"": ""www.indiatvnews.com""}",161
"{""url"": ""thedial.co""}",1
"{""url"": ""indianexpress.com""}",2686
"{""url"": ""www.fool.co.uk""}",6
"{""url"": ""wccftech.com""}",1
"{""url"": ""www.townandcountrymag.com""}",1
"{""url"": ""www.billboard.com""}",5
"{""url"": ""www.crainsdetroit.com""}",1
"{""url"": ""insideevs.com""}",9
"{""url"": ""technosports.co.in""}",2
"{""url"": ""realsport101.com""}",1
"{""url"": ""www.knocksense.com""}",5
"{""url"": ""www.windowslatest.com""}",1
"{""url"": ""wptavern.com""}",1
"{""url"": ""www.theverge.com""}",77
"{""url"": ""nytlicensing.com""}",2
"{""url"": ""www.aviation24.be""}",2
"{""url"": ""news.abplive.com""}",66
"{""url"": ""www.yovizag.com""}",3
"{""url"": ""www.cnet.com""}",31
"{""url"": ""www.wfla.com""}",1
"{""url"": ""www.defenseone.com""}",1
"{""url"": ""www.punekarnews.in""}",39
"{""url"": ""www.motorbeam.com""}",53
"{""url"": ""www.telecompaper.com""}",1
"{""url"": ""www.birminghammail.co.uk""}",2
"{""url"": ""nagpuroranges.com""}",10
"{""url"": ""www.motorsportweek.com""}",1
"{""url"": ""thelogicalindian.com""}",21
"{""url"": ""www.jpost.com""}",6
"{""url"": ""www.maritime-executive.com""}",2
"{""url"": ""www.middleeastmonitor.com""}",1
"{""url"": ""bengaluru.citizenmatters.in""}",2
"{""url"": ""www.dailyo.in""}",1
"{""url"": ""www.pharmaceutical-technology.com""}",14
"{""url"": ""www.aircargonews.net""}",3
"{""url"": ""apnews.com""}",3
"{""url"": ""smartinvestor.business-standard.com""}",6
"{""url"": ""www.axios.com""}",1
"{""url"": ""www.news.com.au""}",2
"{""url"": ""www.vccircle.com""}",82
"{""url"": ""www.india.com""}",201
"{""url"": ""www.mercurynews.com""}",1
"{""url"": ""www.orfonline.org""}",6
"{""url"": ""www.xda-developers.com""}",76
"{""url"": ""foxexclusive.com""}",1
"{""url"": ""www.cbronline.com""}",1
"{""url"": ""in.investing.com""}",550
"{""url"": ""eandt.theiet.org""}",1
"{""url"": ""www.sfchronicle.com""}",1
"{""url"": ""nypost.com""}",12
"{""url"": ""news.careers360.com""}",1
"{""url"": ""cryptoslate.com""}",30
"{""url"": ""news.efinancialcareers.com""}",4
"{""url"": ""electrek.co""}",11
"{""url"": ""www.chicagobusiness.com""}",1
"{""url"": ""www.downtoearth.org.in""}",6
"{""url"": ""news.bitcoin.com""}",376
"{""url"": ""www.autocarpro.in""}",38
"{""url"": ""www.thenewsopediaindia.co.in""}",13
"{""url"": ""www.afaqs.com""}",22
"{""url"": ""www.sdxcentral.com""}",7
"{""url"": ""www.thisismoney.co.uk""}",7
"{""url"": ""amp.theguardian.commembership""}",1
"{""url"": ""www.foodnavigator.com""}",3
"{""url"": ""asiatimes.com""}",14
"{""url"": ""www.oedigital.com""}",1
"{""url"": ""www.fxempire.com""}",623
"{""url"": ""tass.com""}",2
